formula,prediction,density,Density Score,index
Ca3Au,71.440,0.104,3.615,1065
Li3Au,56.579,0.110,3.272,4140
Sr6Sn2NO,118.200,0.144,3.187,8034
Li7Sn2,49.286,0.113,3.116,4239
SrLi4N2,64.458,0.121,3.115,8126
Rb3Mg,5.649,0.109,2.687,6861
LiErGe,40.474,0.134,2.509,4381
Er2ZnRu,109.614,0.171,2.416,2366
Ca3BiSb,49.694,0.143,2.382,1069
LiB,118.463,0.182,2.243,4293
LiLuPt2,76.144,0.170,2.037,4478
Sm2AgSn,75.145,0.172,1.971,7571
Yb2SbAu,53.113,0.164,1.908,9975
Yb2AgSn,58.505,0.168,1.883,9954
Sr3MnN3,105.408,0.191,1.865,8007
Pr2ZnHg,55.272,0.176,1.636,6558
HoTmMg2,45.313,0.173,1.585,3325
Nd2CdIn,49.013,0.176,1.558,6000
CaSmZn2,43.022,0.175,1.520,1307
LiTmHg2,33.204,0.173,1.462,4640
LiTmIn2,40.474,0.179,1.402,4641
NdTmTl2,36.367,0.179,1.341,6155
Li4UO5,69.932,0.200,1.222,4204
P3N5,200.421,0.269,1.098,6305
CrPO4,168.048,0.268,0.728,1787
ErB2Rh2C,195.810,0.283,0.689,2384
ZrH3,136.820,0.258,0.611,10471
MnAlRh2,181.872,0.286,0.466,5266
BeGaRh2,174.996,0.286,0.381,852
Mn3O4,145.852,0.273,0.344,5230
Sc2CoRu,165.547,0.283,0.331,7168
TiBiRh,178.190,0.290,0.323,8848
P2Pb2O7,128.230,0.267,0.273,6298
NdBPd3,164.868,0.286,0.263,6045
Ca2MnO4,103.791,0.256,0.252,1030
DyIr3,151.946,0.280,0.249,2263
Fe2W,166.909,0.287,0.243,2569
CeIr2,150.326,0.279,0.239,1545
CaPd3O4,132.461,0.273,0.176,1270
Al(SnO2)2,126.388,0.271,0.166,139
TbGaRh2,144.545,0.281,0.129,8438
Ho2CF2,56.910,0.240,0.101,3185
Mg(BeN)2,131.782,0.276,0.090,4839
Cu3P,150.118,0.286,0.085,2071
ScNbOs2,140.033,0.281,0.080,7384
TmHfRu2,132.482,0.277,0.077,9217
Na2Hf2O5,89.112,0.257,0.056,5475
MgSiN2,128.148,0.276,0.053,5115
Hf4N3,153.215,0.289,0.050,2946
Sm2Zr2O7,105.040,0.266,0.034,7608
ThSiO4,108.012,0.270,-0.034,8639
CrGaP2,130.590,0.281,-0.040,1766
HfPbO3,104.099,0.270,-0.079,3060
ZnCo3C,135.549,0.286,-0.096,10231
SmMn2O5,104.527,0.272,-0.139,7724
V2C,141.209,0.290,-0.141,9401
SF6,20.537,0.232,-0.145,7074
Fe3Sn2,131.277,0.286,-0.146,2587
CaCu2O3,102.374,0.272,-0.161,1177
BaTiS3,68.359,0.256,-0.176,751
CeNiC2,120.186,0.282,-0.185,1560
Ti2GaC,133.201,0.288,-0.186,8693
LiAlPt2,103.736,0.274,-0.187,4281
K2SnCl6,53.718,0.250,-0.191,3510
Pr(CoSi)2,119.226,0.282,-0.200,6525
Ho(SiRu)2,123.002,0.284,-0.201,3178
Ga2CoS4,95.372,0.271,-0.222,2674
RbSbO3,55.562,0.252,-0.227,6979
TaNiGe,124.341,0.286,-0.245,8321
Cs2CrCl4,48.154,0.249,-0.248,1826
Cr2FeS4,106.959,0.278,-0.254,1698
MnSbPd2,119.798,0.285,-0.266,5373
DyCuSeO,88.410,0.271,-0.284,2242
Nd(CoSi)2,112.036,0.282,-0.290,5981
Ho2Cr2C3,99.339,0.277,-0.300,3189
TbNi2,104.590,0.279,-0.305,8458
YNiSb,85.258,0.271,-0.331,9851
U2CrN3,121.549,0.291,-0.381,9287
BaTe2,36.238,0.249,-0.386,744
Ni2Ge,107.861,0.286,-0.437,6171
Sc3AlC,109.348,0.289,-0.476,7232
Cs2PbCl6,25.774,0.248,-0.481,1870
AsPdSe,84.680,0.280,-0.568,352
LaCu2,82.082,0.280,-0.590,3852
Sc,65.196,0.272,-0.611,7129
Cs2RbInF6,13.395,0.247,-0.612,1888
CuAs,77.074,0.280,-0.652,2091
In2Se3,47.975,0.270,-0.748,3346
YMg2,62.675,0.277,-0.749,9816
LiZnAu2,56.818,0.275,-0.771,4682
ZrGeTe,74.328,0.284,-0.793,10467
Rb2Cr(BrCl)2,-0.749,0.249,-0.816,6763
MgS,48.608,0.273,-0.824,5093
CdCl2,22.257,0.263,-0.886,1387
Sc2CdAg,61.966,0.284,-0.931,7161
TbCd3,51.666,0.279,-0.939,8415
Sr(ZnGe)2,49.682,0.280,-0.989,7904
ErCdCu4,60.855,0.287,-1.010,2394
Ba(CdAs)2,36.192,0.280,-1.133,422
HoCd3,31.563,0.279,-1.176,3230
