label,xcentroid,ycentroid,sky_centroid,MAG_F105W,bbox_xmin,bbox_xmax,bbox_ymin,bbox_ymax,area,semimajor_sigma,semiminor_sigma,orientation,eccentricity,min_value,max_value,local_background,segment_flux,segment_fluxerr,kron_flux,kron_fluxerr
1,69.41103062880637,30.315947373809582,"3.5792221956114045,-30.380186164993187",23.798106893405354,50,86,9,55,1007.0,6.816977087043578,5.467045344322998,52.36545051567701,0.5973575690255633,-0.0007741072,0.07670669,0.0,10.142585,nan,10.740700357431487,nan
2,10.723675362202394,48.36581061991497,"3.5803560115860167,-30.379885374267737",28.47000169893416,7,14,46,52,40.0,1.7915174219079304,1.6071530100776072,12.894816092830986,0.44184712840694945,0.0007765131,0.006208378,0.0,0.14133699,nan,0.365881439324934,nan
3,87.96607120918883,75.75285991459342,"3.5788637567041843,-30.379428868007604",24.011753505732976,73,99,62,90,560.0,4.551456896331602,4.284626780617939,-33.19451883508707,0.33736257126099184,0.0003960066,0.10125063,0.0,8.023693,nan,8.203110323398937,nan
4,9.595897953226478,93.77137025796466,"3.5803778219391056,-30.379128615335496",27.509403529046413,6,13,89,98,69.0,2.316568681450761,1.5831936367641857,-68.6151919360393,0.730023688020057,-0.0003018236,0.012467582,0.0,0.32430932,nan,0.43912998155529215,nan
5,27.47085460922016,94.85234655402142,"3.5800324920692135,-30.379110587833296",28.82192094898511,23,31,91,98,47.0,1.9955255709614443,1.5845356770020202,0.9234764529732234,0.607859911508739,0.0010049416,0.0065371594,0.0,0.16566622,nan,0.20697125019559204,nan
6,24.307434302087866,30.35392939609522,"3.5800935719841864,-30.380185563912143",26.408889049550535,18,31,23,38,144.0,3.0245707261258468,2.4202134731021587,-64.46278250057281,0.5997544245273903,0.00017471019,0.026761448,0.0,0.95649534,nan,1.1915633946894406,nan
7,12.42413580074468,33.35986620496932,"3.5803231521996457,-30.380135472402408",25.854325366995543,3,19,24,42,217.0,3.92466388970974,2.951252470377072,-56.30134488463575,0.6591906543158541,0.0003065186,0.024509758,0.0,1.4429307,nan,1.9138960489728916,nan
8,59.02431129503327,60.53985293547605,"3.579422881067967,-30.379682440913403",26.396022834099192,55,68,54,67,127.0,2.860591758758176,2.2392989936673744,-62.703795754044584,0.6222611704002506,-0.0008499848,0.025796533,0.0,0.880947,nan,1.5580144460028535,nan
9,43.423186952323604,69.53088242226579,"3.579724289980068,-30.37953260161102",23.56884654347615,25,67,52,87,884.0,6.139273704020027,4.8220592294167055,-45.64392939010025,0.6189319983165824,-0.00012446036,0.13125701,0.0,12.438784,nan,12.913051480801744,nan
